"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2015,8,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1578.00,276.00,74.07,12.51,104.13,1.21,84.08,12.00,6.00,20362.00,6662.00,732.00,5604.00,84.00,7280.00,
2015,8,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",3520.00,727.00,218.80,32.74,279.42,4.73,191.31,24.00,4.00,48530.00,19534.00,2266.00,11600.00,147.00,14983.00,
2015,8,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",12864.00,1732.00,570.73,74.13,366.79,7.11,713.24,72.00,22.00,130779.00,57504.00,5743.00,14365.00,307.00,52860.00,
2015,8,"AA","American Airlines Inc.","OKC","Oklahoma City, OK: Will Rogers World",143.00,29.00,12.78,0.00,2.07,0.00,14.15,0.00,1.00,1281.00,509.00,0.00,61.00,0.00,711.00,
2015,8,"AA","American Airlines Inc.","OGG","Kahului, HI: Kahului Airport",185.00,55.00,25.14,0.12,21.61,0.00,8.13,1.00,2.00,3036.00,1476.00,7.00,692.00,0.00,861.00,
2015,8,"AA","American Airlines Inc.","HNL","Honolulu, HI: Honolulu International",289.00,115.00,47.02,0.00,49.95,1.00,17.03,2.00,1.00,7598.00,4242.00,0.00,1669.00,93.00,1594.00,
2015,8,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",1438.00,285.00,118.13,13.23,78.63,2.65,72.35,7.00,2.00,16520.00,7068.00,1429.00,3067.00,132.00,4824.00,
2015,8,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",823.00,122.00,54.79,3.46,21.47,0.26,42.03,5.00,1.00,6300.00,2923.00,149.00,815.00,8.00,2405.00,
2015,8,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",1356.00,267.00,90.72,10.48,63.81,2.35,99.64,1.00,6.00,15268.00,4569.00,909.00,3620.00,91.00,6079.00,
2015,8,"AA","American Airlines Inc.","PHL","Philadelphia, PA: Philadelphia International",4037.00,675.00,204.93,28.29,226.89,1.43,213.46,41.00,12.00,36169.00,11073.00,2116.00,9850.00,37.00,13093.00,
2015,8,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",5260.00,950.00,259.66,36.48,354.34,0.31,299.20,76.00,32.00,61830.00,18273.00,2669.00,19357.00,18.00,21513.00,
2015,8,"AA","American Airlines Inc.","MIA","Miami, FL: Miami International",4660.00,1071.00,287.43,41.75,434.09,1.67,306.05,59.00,26.00,62517.00,19499.00,3223.00,17891.00,46.00,21858.00,
2015,8,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",2577.00,484.00,155.25,30.25,155.96,3.70,138.85,61.00,7.00,25944.00,7952.00,2041.00,7269.00,217.00,8465.00,
2015,8,"AA","American Airlines Inc.","MCO","Orlando, FL: Orlando International",1617.00,487.00,144.41,22.75,197.78,4.15,117.90,10.00,13.00,26729.00,8018.00,1440.00,9466.00,190.00,7615.00,
2015,8,"AA","American Airlines Inc.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",563.00,76.00,25.68,0.65,19.00,0.14,30.53,7.00,0.00,3926.00,1517.00,25.00,643.00,3.00,1738.00,
2015,8,"AA","American Airlines Inc.","JAC","Jackson, WY: Jackson Hole",67.00,13.00,8.79,0.21,0.16,0.00,3.85,0.00,0.00,701.00,387.00,13.00,16.00,0.00,285.00,
2015,8,"AA","American Airlines Inc.","PNS","Pensacola, FL: Pensacola International",33.00,7.00,2.74,0.00,0.40,0.00,3.87,0.00,0.00,270.00,79.00,0.00,19.00,0.00,172.00,
2015,8,"AA","American Airlines Inc.","IAD","Washington, DC: Washington Dulles International",264.00,72.00,34.65,4.13,15.12,0.00,18.11,2.00,0.00,3734.00,1641.00,206.00,725.00,0.00,1162.00,
2015,8,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",2579.00,517.00,165.58,15.66,189.56,1.88,144.32,39.00,1.00,28946.00,9530.00,1177.00,9525.00,114.00,8600.00,
2015,8,"AA","American Airlines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",935.00,247.00,82.19,5.74,94.31,0.66,64.09,1.00,1.00,12010.00,4182.00,280.00,3612.00,41.00,3895.00,
2015,8,"AA","American Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",517.00,98.00,46.96,4.00,25.74,1.00,20.30,7.00,4.00,4141.00,2158.00,287.00,708.00,25.00,963.00,
